"GEO_ID","H001001","NAME"
"id","Total","Geographic Area Name"
"8600000US92371","6098","ZCTA5 92371"
"8600000US92372","2571","ZCTA5 92372"
"8600000US92373","14940","ZCTA5 92373"
"8600000US92374","13867","ZCTA5 92374"
"8600000US92376","22370","ZCTA5 92376"
"8600000US92377","5524","ZCTA5 92377"
"8600000US92378","80","ZCTA5 92378"
"8600000US92382","4037","ZCTA5 92382"
"8600000US92384","37","ZCTA5 92384"
"8600000US92385","328","ZCTA5 92385"
"8600000US92386","3224","ZCTA5 92386"
"8600000US92389","162","ZCTA5 92389"
"8600000US92391","1674","ZCTA5 92391"
"8600000US92392","17356","ZCTA5 92392"
"8600000US92394","9051","ZCTA5 92394"
"8600000US92395","15854","ZCTA5 92395"
"8600000US92397","2857","ZCTA5 92397"
"8600000US92398","679","ZCTA5 92398"
"8600000US92399","20048","ZCTA5 92399"
"8600000US92401","748","ZCTA5 92401"
"8600000US92404","19384","ZCTA5 92404"
"8600000US92405","9604","ZCTA5 92405"
"8600000US92407","16829","ZCTA5 92407"
"8600000US92408","4324","ZCTA5 92408"
"8600000US92410","14224","ZCTA5 92410"
"8600000US92411","7127","ZCTA5 92411"
"8600000US92501","7287","ZCTA5 92501"
"8600000US92503","24754","ZCTA5 92503"
"8600000US92504","17788","ZCTA5 92504"
"8600000US92505","14573","ZCTA5 92505"
"8600000US92506","16248","ZCTA5 92506"
"8600000US92507","19834","ZCTA5 92507"
"8600000US92508","10351","ZCTA5 92508"
"8600000US92509","20512","ZCTA5 92509"
"8600000US92518","717","ZCTA5 92518"
"8600000US92530","16205","ZCTA5 92530"
"8600000US92532","6049","ZCTA5 92532"
"8600000US92536","2296","ZCTA5 92536"
"8600000US92539","2442","ZCTA5 92539"
"8600000US92543","14994","ZCTA5 92543"
"8600000US92544","17221","ZCTA5 92544"
"8600000US92545","17984","ZCTA5 92545"
"8600000US92548","2518","ZCTA5 92548"
"8600000US92549","4157","ZCTA5 92549"
"8600000US92551","8114","ZCTA5 92551"
"8600000US92553","20376","ZCTA5 92553"
"8600000US92555","11763","ZCTA5 92555"
"8600000US92557","15510","ZCTA5 92557"
"8600000US92561","1275","ZCTA5 92561"
"8600000US92562","22069","ZCTA5 92562"
"8600000US92563","17192","ZCTA5 92563"
"8600000US92567","2920","ZCTA5 92567"
"8600000US92570","14903","ZCTA5 92570"
"8600000US92571","13526","ZCTA5 92571"
"8600000US92582","4661","ZCTA5 92582"
"8600000US92583","11044","ZCTA5 92583"
"8600000US92584","14553","ZCTA5 92584"
"8600000US92585","5944","ZCTA5 92585"
"8600000US92586","10638","ZCTA5 92586"
"8600000US92587","6499","ZCTA5 92587"
"8600000US92590","1464","ZCTA5 92590"
"8600000US92591","13631","ZCTA5 92591"
"8600000US92592","24146","ZCTA5 92592"
"8600000US92595","10020","ZCTA5 92595"
"8600000US92596","7131","ZCTA5 92596"
"8600000US92602","8764","ZCTA5 92602"
"8600000US92603","7937","ZCTA5 92603"
"8600000US92604","10094","ZCTA5 92604"
"8600000US92606","8021","ZCTA5 92606"
"8600000US92610","3882","ZCTA5 92610"
"8600000US92612","13044","ZCTA5 92612"
"8600000US92614","9973","ZCTA5 92614"
"8600000US92617","3713","ZCTA5 92617"
"8600000US92618","8077","ZCTA5 92618"
"8600000US92620","14293","ZCTA5 92620"
"8600000US92624","3243","ZCTA5 92624"
"8600000US92625","6722","ZCTA5 92625"
"8600000US92626","19641","ZCTA5 92626"
"8600000US92627","22839","ZCTA5 92627"
"8600000US92629","12521","ZCTA5 92629"
"8600000US92630","20785","ZCTA5 92630"
"8600000US92637","12851","ZCTA5 92637"
"8600000US92646","21947","ZCTA5 92646"
"8600000US92647","20625","ZCTA5 92647"
"8600000US92648","20863","ZCTA5 92648"
"8600000US92649","14697","ZCTA5 92649"
"8600000US92651","13462","ZCTA5 92651"
"8600000US92653","10362","ZCTA5 92653"
"8600000US92655","2477","ZCTA5 92655"
"8600000US92656","19711","ZCTA5 92656"
"8600000US92657","4159","ZCTA5 92657"
"8600000US92660","16354","ZCTA5 92660"
"8600000US92661","2609","ZCTA5 92661"
"8600000US92662","2111","ZCTA5 92662"
"8600000US92663","12233","ZCTA5 92663"
"8600000US92672","15708","ZCTA5 92672"
"8600000US92673","10246","ZCTA5 92673"
"8600000US92675","12005","ZCTA5 92675"
"8600000US92676","861","ZCTA5 92676"
"8600000US92677","25554","ZCTA5 92677"
"8600000US92678","244","ZCTA5 92678"
"8600000US92679","10751","ZCTA5 92679"
"8600000US92683","27713","ZCTA5 92683"
"8600000US92688","16120","ZCTA5 92688"
"8600000US92691","16702","ZCTA5 92691"
"8600000US92692","18109","ZCTA5 92692"
"8600000US92694","6933","ZCTA5 92694"
"8600000US92701","13175","ZCTA5 92701"
"8600000US92703","13177","ZCTA5 92703"
"8600000US92704","20468","ZCTA5 92704"
"8600000US92705","15095","ZCTA5 92705"
"8600000US92706","9687","ZCTA5 92706"
"8600000US92707","13564","ZCTA5 92707"
"8600000US92708","19391","ZCTA5 92708"
"8600000US92780","19516","ZCTA5 92780"
"8600000US92782","8881","ZCTA5 92782"
"8600000US92801","18604","ZCTA5 92801"
"8600000US92802","12321","ZCTA5 92802"
"8600000US92804","25717","ZCTA5 92804"
"8600000US92805","18804","ZCTA5 92805"
"8600000US92806","12844","ZCTA5 92806"
"8600000US92807","12893","ZCTA5 92807"
"8600000US92808","7538","ZCTA5 92808"
"8600000US92821","13551","ZCTA5 92821"
